timestamp,rule_level,decoder_name,rule_description,rule_group,mitre_id,agent_ip,is_malicious
2026-04-27T19:27:00.78164,1,mysql,Standard DB query execution,database,unknown,192.168.1.32,0
2026-04-21T15:29:08.50152,11,suricata,Lateral movement via Windows Admin Shares,lateral_movement,T1021,60.205.226.171,1
2026-04-14T16:18:00.92796,14,modsecurity,SQL Injection attempt detected,owasp_10,T1190,0.0.0.0,1
2026-05-03T10:59:00.98988,10,unknown,HTTP Flood Denial of Service (DoS),dos,T1498,84.183.28.181,1
2026-04-05T22:00:00.59189,4,pam,Successful SSH login,authentication,unknown,192.168.1.88,0
2026-04-08T23:47:23.23896,4,mysql,Standard DB query execution,database,unknown,192.168.1.181,0
2026-04-27T12:49:00.37310,1,sudo,User executed allowed sudo command,privilege,unknown,192.168.1.200,0
2026-04-20T14:52:00.51861,2,sudo,User executed allowed sudo command,privilege,unknown,192.168.1.48,0
2026-05-02T12:17:00.26034,1,syscheck,File integrity check passed,ossec,unknown,192.168.1.148,0
2026-04-17T21:47:57.54663,2,mysql,Standard DB query execution,database,unknown,43.162.97.182,0
2026-04-27T07:21:00.73628,4,iptables,Firewall accepted connection,firewall,unknown,192.168.1.194,0
2026-04-27T13:05:00.34015,8,windows_defender,Malware Execution Detected,malware,T1204,168.237.187.83,1
2026-04-30T18:54:00.72551,1,nginx,Normal asset load (JS/CSS),web_traffic,unknown,0.0.0.0,0
2026-04-05T16:22:00.99367,7,suricata,Outbound connection to rare external IP,network_monitor,unknown,192.168.1.18,0
2026-04-25T14:00:00.16000,10,syscheck,High disk usage alert - /var/log at 92% capacity,system_monitor,unknown,192.168.1.27,0
2026-04-21T09:30:00.24091,11,mysql,Database maintenance: slow query log threshold exceeded,database,unknown,0.0.0.0,0
2026-05-04T16:11:00.56049,3,pam,Successful SSH login,authentication,unknown,192.168.1.92,1
2026-05-01T02:21:00.67584,12,pam,Password expiry warning for user admin (30 days remaining),authentication,unknown,192.168.1.242,0
2026-04-21T12:10:00.33668,5,suricata,Outbound connection to rare external IP,network_monitor,unknown,5.180.61.211,1
2026-04-19T19:32:00.86957,8,sshd,Multiple SSH authentication failures (Brute Force),authentication_failed,T1110,192.168.1.131,0
2026-04-21T16:52:00.37262,6,nginx,Unusual traffic spike detected,web_traffic,unknown,192.168.1.118,0
2026-04-19T14:59:00.90832,1,pam,Successful SSH login,authentication,unknown,192.168.1.30,0
2026-04-18T23:58:00.63985,1,mysql,Standard DB query execution,database,unknown,192.168.1.102,0
2026-04-29T10:30:00.28148,4,sudo,User executed allowed sudo command,privilege,unknown,0.0.0.0,0
2026-04-08T09:36:00.26537,4,iptables,Firewall accepted connection,firewall,unknown,192.168.1.134,0
2026-04-14T20:13:00.19119,14,modsecurity,Cross Site Scripting (XSS) detected,owasp_10,T1190,23.56.155.149,1
2026-04-21T14:22:00.19769,4,sca,Vulnerability assessment scan completed on all endpoints,compliance,unknown,0.0.0.0,0
2026-04-08T00:30:06.55702,4,mysql,Standard DB query execution,database,unknown,192.168.1.177,0
2026-05-02T15:41:00.39056,13,modsecurity,SQL Injection attempt detected,owasp_10,T1190,180.16.202.97,1
2026-04-27T09:12:45.88534,2,sudo,unknown,privilege,unknown,192.168.1.113,0
2026-04-20T21:51:00.55792,8,windows,Service started from non-standard path,windows_system,unknown,54.39.136.249,1
2026-04-11T14:47:00.26950,8,suricata,Lateral movement via Windows Admin Shares,lateral_movement,T1021,192.168.1.153,1
2026-05-02T12:00:00.46471,9,windows_defender,Malware Execution Detected,malware,T1204,26.176.190.98,1
2026-04-19T20:01:00.37025,4,syscheck,File integrity check passed,ossec,unknown,192.168.1.111,0
2026-04-16T20:02:00.52967,14,windows_defender,Malware Execution Detected,malware,T1204,1.13.22.203,1
