timestamp,rule.level,decoder.name,rule.description,rule.groups,rule.mitre.id,agent.ip
2026-04-27T19:27:00.78164,1,mysql,Standard DB query execution,database,,192.168.1.32
2026-04-21T15:29:08.50152,11,suricata,Lateral movement via Windows Admin Shares,lateral_movement,T1021,60.205.226.171
2026-04-14T16:18:00.92796,14,modsecurity,SQL Injection attempt detected,owasp_10,T1190,
2026-05-03T10:59:00.98988,10,,HTTP Flood Denial of Service (DoS),dos,T1498,84.183.28.181
2026-04-05T22:00:00.59189,4,pam,Successful SSH login,authentication,,192.168.1.88
2026-04-08T23:47:23.23896,4,mysql,Standard DB query execution,database,,192.168.1.181
2026-04-27T12:49:00.37310,1,sudo,User executed allowed sudo command,privilege,,192.168.1.200
2026-04-20T14:52:00.51861,2,sudo,User executed allowed sudo command,privilege,,192.168.1.48
2026-05-02T12:17:00.26034,1,syscheck,File integrity check passed,ossec,,192.168.1.148
2026-04-17T21:47:57.54663,2,mysql,Standard DB query execution,database,,43.162.97.182
2026-04-27T07:21:00.73628,4,iptables,Firewall accepted connection,firewall,,192.168.1.194
2026-04-27T13:05:00.34015,8,windows_defender,Malware Execution Detected,malware,T1204,168.237.187.83
2026-04-30T18:54:00.72551,1,nginx,Normal asset load (JS/CSS),web_traffic,,
2026-04-05T16:22:00.99367,7,suricata,Outbound connection to rare external IP,network_monitor,,192.168.1.18
2026-04-25T14:00:00.16000,10,syscheck,High disk usage alert - /var/log at 92% capacity,system_monitor,,192.168.1.27
2026-04-21T09:30:00.24091,11,mysql,Database maintenance: slow query log threshold exceeded,database,,
2026-05-04T16:11:00.56049,3,pam,Successful SSH login,authentication,,192.168.1.92
2026-05-01T02:21:00.67584,12,pam,Password expiry warning for user admin (30 days remaining),authentication,,192.168.1.242
2026-04-21T12:10:00.33668,5,suricata,Outbound connection to rare external IP,network_monitor,,5.180.61.211
2026-04-19T19:32:00.86957,8,sshd,Multiple SSH authentication failures (Brute Force),authentication_failed,T1110,192.168.1.131
2026-04-21T16:52:00.37262,6,nginx,Unusual traffic spike detected,web_traffic,,192.168.1.118
2026-04-19T14:59:00.90832,1,pam,Successful SSH login,authentication,,192.168.1.30
2026-04-18T23:58:00.63985,1,mysql,Standard DB query execution,database,,192.168.1.102
2026-04-29T10:30:00.28148,4,sudo,User executed allowed sudo command,privilege,,
2026-04-08T09:36:00.26537,,iptables,Firewall accepted connection,firewall,,192.168.1.134
2026-04-14T20:13:00.19119,14,modsecurity,Cross Site Scripting (XSS) detected,owasp_10,T1190,23.56.155.149
2026-04-21T14:22:00.19769,,sca,Vulnerability assessment scan completed on all endpoints,compliance,,
2026-04-08T00:30:06.55702,,mysql,Standard DB query execution,database,,192.168.1.177
2026-05-02T15:41:00.39056,13,modsecurity,SQL Injection attempt detected,owasp_10,T1190,180.16.202.97
2026-04-27T09:12:45.88534,2,sudo,,privilege,,192.168.1.113
2026-04-20T21:51:00.55792,8,windows,Service started from non-standard path,windows_system,,54.39.136.249
2026-04-11T14:47:00.26950,8,suricata,Lateral movement via Windows Admin Shares,lateral_movement,T1021,192.168.1.153
2026-05-02T12:00:00.46471,9,windows_defender,Malware Execution Detected,malware,T1204,26.176.190.98
2026-04-19T20:01:00.37025,4,syscheck,File integrity check passed,ossec,,192.168.1.111
2026-04-16T20:02:00.52967,14,windows_defender,Malware Execution Detected,malware,T1204,1.13.22.203
2026-04-05T23:50:00.41867,3,postfix,Mail delivery successful,mail,,
2026-04-16T00:53:08.32139,8,syscheck,Unexpected file modification in /etc/,ossec,,45.42.123.174
2026-04-19T22:46:00.99527,3,pam,Successful SSH login,authentication,,192.168.1.152
2026-04-17T21:54:00.46021,13,windows_defender,Malware Execution Detected,malware,T1204,58.16.114.232
2026-04-12T09:04:00.73319,8,sshd,Multiple SSH authentication failures (Brute Force),authentication_failed,T1110,192.168.1.165
2026-04-14T12:11:00.89939,1,windows,System event 4624,windows_auth,,192.168.1.206
2026-04-19T21:17:00.13912,4,nginx,Normal asset load (JS/CSS),web_traffic,,192.168.1.65
2026-04-23T03:05:00.88761,,modsecurity,SQL Injection attempt detected,owasp_10,T1190,14.103.107.214
2026-04-09T07:24:00.58311,4,mysql,Standard DB query execution,database,,192.168.1.39
2026-04-13T17:05:00.14267,1,nginx,,,,192.168.1.158
2026-05-04T06:21:00.43943,12,sshd,SSH key rotation completed for service account,authentication,,192.168.1.8
2026-04-18T08:52:00.81912,1,windows,System event 4624,windows_auth,,192.168.1.24
2026-04-18T22:03:06.39212,1,cron,Cron job executed successfully,system,,192.168.1.71
2026-04-30T13:29:00.67022,1,nginx,Normal asset load (JS/CSS),,,192.168.1.78
2026-04-14T13:22:00.65623,3,nginx,Normal asset load (JS/CSS),web_traffic,,192.168.1.18
2026-04-06T21:08:00.66889,1,web-accesslog,Normal GET request to /index.html,web_traffic,,192.168.1.92
2026-05-04T03:45:00.46328,8,nginx,Unusual traffic spike detected,web_traffic,,192.168.1.183
